Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
"ruang riil atau ruang nyata mencakup tempat-tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.","Ruang riil atau nyata mencakup tempat - tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi",ruang riil  ruang nyata mencakup nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,ruang riil  nyata mencakup tempat tempat nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,5.0,4.877319014956368
"ruang riil atau ruang nyata mencakup tempat-tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.","ruang real atau ruang nyata mencakup tempat- tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.",ruang riil  ruang nyata mencakup nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,ruang real  ruang nyata mencakup tempat nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,5.0,4.905747122530303
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","Nilai Moral
Nilai Religi
Nilai Budaya
Nilai Sosial
Nilai Kehidupan",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai moral nilai religi nilai budaya nilai sosial nilai kehidupan,2.5,3.1132579720998916
gerak tangan memutar dan melambai dan diakhiri dengan posisi ngithing.,gerak tangan yang membentuk lingkaran,gerak tangan memutar  melambai  diakhiri  posisi ngithing,gerak tangan  membentuk lingkaran,1.5,1.6924970871198386
Untuk mewujudkan suatu gerak,Untuk mewujudkan tarian dalam gerakan, mewujudkan suatu gerak, mewujudkan tarian  gerakan,4.0,2.1796858157321775
Pakaian utama yang dikenakan oleh penari dan benar-benar tampak bagi penonton.,Pakaian yang dipake untuk menutup badan kita,pakaian utama  dikenakan  penari  tampak  penonton,pakaian  dipake  menutup badan ,0.5,1.218484318828497
Periode waktu yang dibutuhkan dalam menampilkan tarian.,periode waktu untuk melakukan tarian,periode waktu  dibutuhkan  menampilkan tarian,periode waktu  melakukan tarian,4.0,3.765440384037136
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah","tahap pengenalan, pemunculan konflik, konflik memuncak, konflik menurun, dan penyelesaian.",orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,tahap pengenalan pemunculan konflik konflik memuncak konflik menurun  penyelesaian,2.5,3.1584638586642697
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.",Unsur unsur yang mendukung kegiatan pertunjukan tari agar lebih menarik dan indah saat dipentaskan., memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari,unsur unsur  mendukung kegiatan pertunjukan tari  lebih menarik  indah  dipentaskan,2.0,1.9049653553298718
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,untuk mempelajari dan mengamati dengan teliti suatu fenomena alam.,teori disusun  menjelaskan sesautu    diamati  langsung   bersifat , mempelajari  mengamati  teliti suatu fenomena alam,0.5,0.41459309384704546
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","sains itu mempelajari pengetahuan alam yang terbagi menjadi tiga yaitu fisika, biologi, dan kimia",ilmu pengetahuan  mempelajari gejala alam melalui pengamatan eksperimen  analisis,sains  mempelajari pengetahuan alam  terbagi menjadi tiga  fisika biologi  kimia,0.5,1.8519812405787561
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",salah satu karakteristik penelitian ilmiah,pengetahuan sesuai  objek  diamati  didukung  fakta empiris  didasarkan atas orang ,salah satu karakteristik penelitian ilmiah,0.0,-0.16783797234901754
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","Pernyataan otomatis dari suatu fakta, konsep, teori, hukum, rumus, metode, model",pernyataan matematis  suatu fakta konsep prinsip hukum  teori  menggambarkan keterkaitan   menggambarkan fenomena alam tertentu,pernyataan otomatis  suatu fakta konsep teori hukum rumus metode model,2.0,3.0167265727804664
jawaban sementara dari masalah yang diteliti sehingga kebenarannya harus diuji secara empiris.,Jawaban sementara dari apa yang kita teliti,jawaban   masalah  diteliti  kebenarannya  diuji  empiris,jawaban   apa   teliti,2.0,1.4835067297326776
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",pernyataan sistematis,pernyataan matematis  suatu fakta konsep prinsip hukum  teori  menggambarkan keterkaitan   menggambarkan fenomena alam tertentu,pernyataan sistematis,1.0,1.116670856587263
gerak tari yang menggambarkan suatu hal secara simbolik melalui hal-hal yang tidak realistik (abstrak),Gerak tari yang menggambarkan suatu hal secara simbolik melalui hal hal yang tidak realistik(abstrak).,gerak tari  menggambarkan suatu   simbolik melalui   realistik abstrak,gerak tari  menggambarkan suatu   simbolik melalui     realistik abstrak,5.0,5.456463652416997
"Ruang sebagai tempat pentas, yaitu tempat penari melakukan gerakan atau arena yang dilalui saat pembawaan tarian.
Ruang yang diciptakan oleh penari, yaitu ruang yang dibuat langsung oleh penari saat membawakan suatu tarian.","Pada seni tari, unsur ruang dibagi menjadi dua: Ruang sebagai tempat pentas dan ruang yang diciptakan oleh penari. Ruang sebagai tempat pentas adalah tempat penari melakukan gerakan atau arena yang dilalui ketika membawakan tarian",ruang  tempat pentas  tempat penari melakukan gerakan  arena  dilalui  pembawaan tarian ruang  diciptakan  penari  ruang  dibuat langsung  penari  membawakan suatu tarian, seni tari unsur ruang dibagi menjadi  ruang  tempat pentas  ruang  diciptakan  penari ruang  tempat pentas  tempat penari melakukan gerakan  arena  dilalui  membawakan tarian,3.5,3.8616288397208294
"Sendi mati yaitu sendi yang tidak mungkin bergerak.
Sendi tulang rawan atau sendi kaku, yaitu sendi yang memungkinkan terjadinya sedikit gerak antartulang yang terhubung.
Sendi gerak yaitu sendi yang bisa digerakkan dengan bebas.","Sendi mati yaitu sendi yang tidak mungkin bergerak

Sendi tulang rawan atau sendi kaku yaitu sendi yang memungkinkan terjadinya sedikit gerak antartulang yang terhubung

Sendi gerak yaitu sendi yang bisa digerakkan dengan bebas",sendi mati  sendi   mungkin bergerak sendi tulang rawan  sendi kaku  sendi  memungkinkan terjadinya sedikit gerak antartulang  terhubung sendi gerak  sendi   digerakkan  bebas,sendi mati  sendi   mungkin bergerak sendi tulang rawan  sendi kaku  sendi  memungkinkan terjadinya sedikit gerak antartulang  terhubung sendi gerak  sendi   digerakkan  bebas,5.0,5.456463652416997
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,gerak yang disusun dengan tujuan untuk mendapatkan bentuk artistik (keindahan),gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerak  disusun  tujuan  mendapatkan bentuk artistik keindahan,1.5,2.358139264044711
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari",Rangsangan untuk penari agar lebih bersemangat,mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,rangsangan  penari  lebih bersemangat,0.5,0.40444657115569327
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari",Untuk menambahkan suasana pada saat penari menarikan suatu tarian,mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari, menambahkan suasana   penari menarikan suatu tarian,0.0,1.2865400183667275
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,untuk memahami suatu fenomena alam dan juga membantu untuk memahami teori.,representasi  suatu benda  sistem  dibuat  gambaran  memudahkan pemahaman suatu benda  fenomena alam, memahami suatu fenomena alam   membantu  memahami teori,1.5,2.311521085302752
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,"berkaitan dengan gaya, gerak dan memiliki rumus perpindahan",berkaitan  cara berpikir seorang ilmuwan  melakukan proses sains,berkaitan  gaya gerak  memiliki rumus perpindahan,0.0,0.4724959384108435
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","nilai moral : berkaitan tentang baik buruk suatu tokoh
nilai sosial : berkaitan tentang hubungan interaksi antara tokoh satu dan tokoh lainnya.
nilai budaya : berkaitan tentang kebiasaan masyarakat
nilai religi : berkaitan tentang hubungan antara manusia dengan Tuhan.
nilai pendidikan : berkaitan tentang upaya seseorang untuk mencari ilmu pengetahuan.",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai moral berkaitan  baik buruk suatu tokoh nilai sosial berkaitan  hubungan interaksi  tokoh satu  tokoh lainnya nilai budaya berkaitan  kebiasaan masyarakat nilai religi berkaitan  hubungan  manusia  tuhan nilai pendidikan berkaitan  upaya seseorang  mencari ilmu pengetahuan,5.0,4.5237868824644085
"Rias realistis, rias karakter, rias fantasi, rias usia, rias jenis.","rias realistis, usia, karakter, fantasi, dan jenis lainnya",rias realistis rias karakter rias fantasi rias usia rias jenis,rias realistis usia karakter fantasi  jenis lainnya,4.5,3.5902288423243958
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi hubungan antara fakta dan konsep,generalisasi  hubungan  fakta  konsep,generalisasi hubungan  fakta  konsep,5.0,5.456463652416997
"tulang atau rangka berfungsi sebagai penopang dan pembentuk tubuh, tempat menempelnya otot dan saraf, serta menjadi pelindung organ-organ vital di dalam tubuh.",fungsi utama tulang adalah sebagai penopang tubuh,tulang  rangka berfungsi  penopang  pembentuk tubuh tempat menempelnya otot  saraf  menjadi pelindung vital   tubuh,fungsi utama tulang   penopang tubuh,1.0,2.246271188229093
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari",sebagai irian untuk tarian,mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari, irian  tarian,0.5,0.15394820237560558
tema tokoh penokohan alur latar sudut pandang amanat,"Tema
Tokoh atau pelaku
Penokohan
Alur
Latar waktu, tempat, suasana
Sudut pandang
Amanat",tema tokoh penokohan alur latar sudut pandang amanat,tema tokoh  pelaku penokohan alur latar waktu tempat suasana sudut pandang amanat,4.0,3.8476564410744283
"tungkai atas dan bawah, telapak kaki, jari-jari kaki.","tungkai atas dan bawah, telapak kaki dan jari kaki.",tungkai atas  bawah telapak kaki kaki,tungkai atas  bawah telapak kaki  jari kaki,5.0,4.890733858254754
"ruang riil atau ruang nyata mencakup tempat-tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.","Pada seni tari, unsur ruang dibagi menjadi dua: Ruang sebagai tempat pentas dan ruang yang diciptakan oleh penari. Ruang sebagai tempat pentas adalah tempat penari melakukan gerakan atau arena yang dilalui ketika membawakan tarian",ruang riil  ruang nyata mencakup nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi, seni tari unsur ruang dibagi menjadi  ruang  tempat pentas  ruang  diciptakan  penari ruang  tempat pentas  tempat penari melakukan gerakan  arena  dilalui  membawakan tarian,0.5,1.8028263975653003
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.","Ilmu yang mempelajari berbagai gejala alam, eksperimen, interaksi dengan sesamanya, dan lain.",ilmu pengetahuan  mempelajari gejala alam melalui pengamatan eksperimen  analisis,ilmu  mempelajari berbagai gejala alam eksperimen interaksi  sesamanya  ,3.0,3.1011327788677923
Untuk mewujudkan suatu gerak,Tenaga merupakan salah satu unsur penting dalam seni tari yang berfungsi untuk mewujudkan gerak dan membedakan karakter tarian, mewujudkan suatu gerak,tenaga merupakan salah satu unsur penting  seni tari  berfungsi  mewujudkan gerak  membedakan karakter tarian,1.5,1.0675991285762243
suatu cara sistematis yang digunakan untuk mengembangkan dan menemukan suatu ilmu pengetahuan.,Suatu cara sistematis yang digunakan untuk mengembangkan dan menemukan suatu ilmu pengetahuan,suatu cara sistematis  digunakan  mengembangkan  menemukan suatu ilmu pengetahuan,suatu cara sistematis  digunakan  mengembangkan  menemukan suatu ilmu pengetahuan,5.0,5.456463652416997
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.",unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik serta sesuai dengan isi tarian yang di kehendaki penata tari, memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari,unsur  memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian   kehendaki penata tari,5.0,4.944028940964131
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah","Pengenalan (orientasi) = menceritakan tentang tokoh yang ada pada cerita.
Pemunculan konflik = masalah yang dialami oleh tokoh mulai muncul.
Puncak konflik = masalah yang muncul mulai memuncak atau masalahnya bertambah.
Klimaks = masalah yang memuncak mulai meredah atau masalahnya selesai.
Resolusi = ending cerita setelah masalah selesai.",orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,pengenalan orientasi menceritakan  tokoh    cerita pemunculan konflik masalah  dialami  tokoh mulai muncul puncak konflik masalah  muncul mulai memuncak  masalahnya bertambah klimaks masalah  memuncak mulai meredah  masalahnya selesai resolusi ending cerita  masalah selesai,5.0,3.3635799820675523
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,"Pengarang juga dapat menggambarkan watak tokoh dengan cara tidak langsung, yaitu melalui percakapan atau dialog. Digambarkan oleh tokoh lainnya, reaksi dari tokoh lainnya melalui tempat atau lingkungan tokoh, jalan pikiran tokoh, atau tindakan saat tokoh menghadapi masalah.", langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita,pengarang   menggambarkan watak tokoh  cara  langsung  melalui percakapan  dialog digambarkan  tokoh lainnya reaksi  tokoh lainnya melalui tempat  lingkungan tokoh jalan pikiran tokoh  tindakan  tokoh menghadapi masalah,2.5,2.197144288752013
gerak yang dilakukan di suatu tempat tanpa berpindah posisi.,gerak yang di lakukan di suatu tempat tanpa berpindah tempat.,gerak  dilakukan  suatu tempat  berpindah posisi,gerak   lakukan  suatu tempat  berpindah tempat,5.0,4.511327541916891
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengamati (observasi), mengukur, merumuskan hipotesis, mengajukan pertanyaan, merencanakan penelitian, mengklasifikasi, mengkomunikasikan.",mengamati observasi mengklasifikasi mengukur mengajukan pertanyaan merumuskan hipotesis merencanakan penelitian menafsirkan data mengkomunikasikan,mengamati observasi mengukur merumuskan hipotesis mengajukan pertanyaan merencanakan penelitian mengklasifikasi mengkomunikasikan,4.5,4.874661830994044
"berpusat atau bercerita tentang kerajaan (istana sentris), tidak diketahui nama pengarangnya (anonim) mengandung banyak nilai, terutama nilai moral bersifat statis tidak berkembang selalu berakhir dengan kemenangan tokoh utama (bahagia) arkais kemustahilan","Penyampaiannya secara berbahasa lisan
penciptanya anonim
isi ceritanya yang berkaitan dengan kehidupan di istana atau kerajaan ",berpusat  bercerita  kerajaan istana sentris  diketahui nama pengarangnya anonim mengandung banyak nilai terutama nilai moral bersifat statis  berkembang selalu berakhir  kemenangan tokoh utama bahagia arkais kemustahilan,penyampaiannya  berbahasa lisan penciptanya anonim isi ceritanya  berkaitan  kehidupan  istana  kerajaan,3.0,1.6964376820781109
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," jenis prosa lama yang menceritakan tentang kerajaan, keluarga raja, dan bangsawan",salah saju jenis prosa lama  menceritakan kehidupan raja keluarga raja  bangsawan,jenis prosa lama  menceritakan  kerajaan keluarga raja  bangsawan,5.0,4.201882021960549
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,gambaran dari sebuah produk yang sedang diteliti.,representasi  suatu benda  sistem  dibuat  gambaran  memudahkan pemahaman suatu benda  fenomena alam,gambaran  sebuah produk  sedang diteliti,0.0,1.004741345524689
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,"pengarang pertama, pengarang kedua", langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita,pengarang pertama pengarang kedua,0.0,0.5533267869516323
"ruang riil atau ruang nyata mencakup tempat-tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.","ruang gerak dan ruang pentas. kalau ruang pentas tempat pertunjukan tari, kalau ruang gerak tempat yang di pakai untuk latihan",ruang riil  ruang nyata mencakup nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,ruang gerak  ruang pentas kalau ruang pentas tempat pertunjukan tari kalau ruang gerak tempat   pakai  latihan,0.5,2.292913032526994
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,Gerak yang tidak memiliki arti,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerak   memiliki arti,2.0,1.9931808536577762
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,gerak yang murni berasal dari tubuh kita tanpa bantuan apapun,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerak  murni berasal  tubuh   bantuan apapun,0.0,1.006644775603327
"fakta, konsep, prinsip, hukum, rumus, teori, model","konsep, prinsip, rumus, umum, teori, model, dan proses",fakta konsep prinsip hukum rumus teori model,konsep prinsip rumus umum teori model  proses,4.0,3.8579843689268385
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Pemahaman
Informasi",mengamati observasi mengklasifikasi mengukur mengajukan pertanyaan merumuskan hipotesis merencanakan penelitian menafsirkan data mengkomunikasikan,pemahaman informasi,0.0,0.8790093130600701
"tungkai atas dan bawah, telapak kaki, jari-jari kaki.","tungkai atas dan bawah, telapak kaki, jari jari kaki",tungkai atas  bawah telapak kaki kaki,tungkai atas  bawah telapak kaki jari jari kaki,5.0,4.466436512633044
jaringan dalam tubuh manusia yang dapat menggerakkan bagian tertentu pada tubuh manusia.,jaringan dalam tubuh manusia yang menggerakkan bagian tertentu pada tubuh,jaringan  tubuh manusia   menggerakkan bagian tertentu  tubuh manusia,jaringan  tubuh manusia  menggerakkan bagian tertentu  tubuh,5.0,4.9713283889533715
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,reseptilisasi mengenai suatu benda yang dibuat melalui gambaran.,representasi  suatu benda  sistem  dibuat  gambaran  memudahkan pemahaman suatu benda  fenomena alam,reseptilisasi mengenai suatu benda  dibuat melalui gambaran,2.5,2.9353248540952404
"fakta, konsep, prinsip, hukum, rumus, teori, model","Gambar
Tujuan
Fakta
Konsep kegunaan",fakta konsep prinsip hukum rumus teori model,gambar tujuan fakta konsep kegunaan,1.5,2.031172703248143
"Sendi pelana terdapat pada sambungan antara tulang telapak tangan dan tulang ruas jari
Sendi peluru menghubungkan lengan atas dengan bahu dan juga tulang paha dengan gelang panggul.",sendi pelana terdapat pada sambungan antara tulang telapak tangan dan tulang ruas jari sendi peluru menghubungkan lengan atas dengan bahu dan juga tulang paha,sendi pelana terdapat  sambungan  tulang telapak tangan  tulang ruas jari sendi peluru menghubungkan lengan atas  bahu   tulang paha  gelang panggul,sendi pelana terdapat  sambungan  tulang telapak tangan  tulang ruas jari sendi peluru menghubungkan lengan atas  bahu   tulang paha,4.5,5.040957123313577
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,gerak yang tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerak   mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,5.0,5.021198077055353
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terikat
Variabel terkontrol",variabel bebas variabel terkait variabel terkontrol,variabel bebas variabel terikat variabel terkontrol,5.0,5.008047866670293
hasil penemuan dari berbagai penyelidikan atau penelitian yang dikumpulkan dan disusun secara sistematis menjadi kumpulan pengetahuan.,hasil yang didapatkan dari permasalahan,hasil penemuan  berbagai penyelidikan  penelitian  dikumpulkan  disusun  sistematis menjadi kumpulan pengetahuan,hasil  didapatkan  permasalahan,1.0,1.290960673858369
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah",Merumuskan masalah - Menyusun masalah - Mencari informasi - Membuat hipotesis - Menyusun kesimpulan,merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah menyusun masalah mencari informasi membuat hipotesis menyusun kesimpulan,2.5,3.0214297237187058
"fakta, konsep, prinsip, hukum, rumus, teori, model","Fakta, konsep, prinsip, hukum, rumus, teori, model.",fakta konsep prinsip hukum rumus teori model,fakta konsep prinsip hukum rumus teori model,5.0,5.456463652416997
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah",1. Merumuskan masalah 2. Kajian pustaka 3. Merumuskan hipotesis 4. Melakukan eksperimen 5. mengelola data 6. Menulis hasil penelitian 7. Melaporkan hasil penelitian,merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah kajian pustaka merumuskan hipotesis melakukan eksperimen mengelola data menulis hasil penelitian melaporkan hasil penelitian,4.0,3.48978557330335
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,Gerakan tarik yang tidak memiliki makna dan hanya berfokus kepada keindahannya saja.,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerakan tarik   memiliki makna   berfokus  keindahannya ,4.0,1.292169294002214
penghubung antartulang dan keberadaannya memungkinkan tulang-tulang dapat digerakkan,penghubung antartulang dan keberadaannya memungkinkan tulang-tulang dapat digerakkan.,penghubung antartulang  keberadaannya memungkinkan  digerakkan,penghubung antartulang  keberadaannya memungkinkan  digerakkan,5.0,5.456463652416997
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.","Karya sastra yang berisi cerita tentang kerajaan, raja, ratu atau cerita yang berlatar kerajaan",salah saju jenis prosa lama  menceritakan kehidupan raja keluarga raja  bangsawan,karya sastra  berisi cerita  kerajaan raja ratu  cerita  berlatar kerajaan,5.0,1.957761587931528
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.","unsur pendukung tari
Adalah perpindahan penari dari satu tempat ke tempat lain", memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari,unsur pendukung tari  perpindahan penari  satu tempat  tempat ,0.0,0.801826166574357
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang berubah ubah bukan variabel tetap,variabel   dipertahankan tetap selama penelitian   memengaruhi variabel terikat,variabel  berubah ubah bukan variabel tetap,0.0,2.466733447322337
"Abstraksi dari kejadian, fenomena, & fakta. Unsur konsep adalah nama, definisi, nilai dan contoh.",Konsep adalah suatu gagasan/gambaran mengenai suatu objek.,abstraksi  kejadian fenomena fakta unsur konsep  nama definisi nilai  contoh,konsep  suatu mengenai suatu objek,1.0,0.6660329226682604
