Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
A base case that is the simplest case for a problem so that the function will lead to it if this does not happen then it will end up as an infinite loop And a condition to know when to terminate,Either omitting the base case or writing the recursion step incorerectly,base case simplest case problem function lead happen end infinite loop condition know terminate,either omitting base case writing recursion step incorerectly,5.0,4.290000000000002
They are converted to post fix expressions It still follow the order of precedence for the operators,they are converted to postfix,converted post fix expressions still follow order precedence operators,converted postfix,5.0,4.880000000000001
A data structure in c plus plus which is a collection of data that is kept in order First in first out,A queue is an abstract data structure in which operations are performed at both ends giving the queue first in first out behavior,data structure c plus plus collection data kept order first first,queue abstract data structure operations performed ends giving queue first first behavior,5.0,4.304999999999998
For every node in the binary tree we first visit its left sub - tree - LRB - if its there - RRB - and then visit the parent node itself and then the right sub - tree - LRB - if its there - RRB -,The in order is to go from left root right,every node binary tree first visit left sub tree lrb rrb visit parent node right sub tree lrb rrb,order go left root right,5.0,4.470000000000002
it scans the list and selects the smallest - LRB - largest - RRB - element and places it in the front increment the curPtr by one scan the list again for the next smallest - LRB - largest - RRB - element and place it in with respect with the other sorted elements,it searches through the entire data set for the best element to go in the current position then it moves up a position and searches through the remainder of the set for the best element for the new position,scans list selects smallest lrb largest rrb element places front increment curptr one scan list next smallest lrb largest rrb element place respect sorted elements,searches entire data set best element go current position moves position searches remainder set best element new position,4.0,3.9800000000000053
A variable that contains the address in memory of another variable,It is like a variable however instead of holding data it holds a location in memory,variable contains address memory another variable,like variable however instead holding data holds location memory,4.5,4.075000000000004
Push and pop are two main functions defined in a stack,Push and Pop,push pop two main functions defined stack,push pop,5.0,4.670000000000004
N - LRB - the length of the array - RRB - operations achieved for a sorted array,Best case is all elements sorted n minus 1,n lrb length array rrb operations achieved sorted array,best case elements sorted n minus,4.0,3.7999999999999994
by keeping track of a front item and a rear item or with a circular array that uses the modulo function,by keeping track of a front item and a rear item or with a circular array that uses the modulo function,keeping track front item rear item circular array uses modulo function,keeping track front item rear item circular array uses modulo function,5.0,4.822806440697213
log - LRB - log n - RRB - 2 to the power of - LRB - log n - RRB - n to the power of 2 n to the power of 3 n !,From least to greatest : log - LRB - log n - RRB - 2 to the power of - LRB - log n - RRB - n to the power of 2 n to the power of 3 n !,log lrb log n rrb power lrb log n rrb n power n power n,least greatest log lrb log n rrb power lrb log n rrb n power n power n,5.0,4.949999999999999
A data structure in c plus plus which is a collection of data that is kept in order First in first out,An ADT whose first inserted item is the first item removed This uses the FIFO idea where items enter a queue at its back and leave at its front,data structure c plus plus collection data kept order first first,adt whose first inserted item first item removed uses fifo idea items enter queue back leave front,5.0,4.310000000000001
The Euler tour traversal of a tree begins at the root and visits each node in the tree from the left then bottom then right sides,The Euler tour visits every node in a tree starting with the root and working around the tree counterclockwise in - order post - order and pre - order traversals can be seen as variations of the Euler tour traversal,euler tour traversal tree begins root visits node tree left bottom right sides,euler tour visits every node tree starting root working around tree counterclockwise order post order pre order traversals seen variations euler tour traversal,4.5,4.875000000000002
Unlike in a string declared using type string in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character,They are basically the same however a string ends with a null character denoting the end of the string - LRB - and the size - RRB - A char array has potential to be any size so it must be declared or limited,unlike string declared using type string string declared using array characters programmer must provide null terminating character must ensure array large enough hold string null terminating character,basically however string ends null character denoting end string lrb size rrb char array potential size must declared limited,3.5,4.490000000000004
by reference only,by reference only,reference,reference,5.0,4.822806440697213
A variable in memory that hold the address of another memory location to which it points too,A pointer is an element that references a memory location,variable memory hold address another memory location points,pointer element references memory location,5.0,4.306357142857145
A tree data structure where each node has a value where the total order is defined on these values the left subtree contains only values less than the parent node and vice versa for the right subtree,A binary search tree is a tree that also has the condition that each node may have at maximum 2 children and where the input data is compared to the data in the tree starting with the root If the value is smaller than the root it traverses left if it is larger it traverses right until it becomes a leaf,tree data structure node value total order defined values left subtree contains values less parent node vice versa right subtree,binary search tree tree also condition node may maximum children input data compared data tree starting root value smaller root traverses left larger traverses right becomes leaf,4.5,4.100000000000003
Gives faster times for some operations such as insertion and deletion,you can traverse the list from front to back and back to front,gives faster times operations insertion deletion,traverse list front back back front,3.5,0.7550000000000002
A pointer that points to the memory address of the beginning part of a functions pretty much the pointer points to the function so it can be called to execute,A function pointer is a pointer that contains the address of the function in memory,pointer points memory address beginning part functions pretty much pointer points function called execute,function pointer pointer contains address function memory,5.0,4.124999999999996
a header file is a file used to store a list of prototye functions and data members,the role of a header file list all the functions a class can do while hiding the inner workings of its functions,header file file used store list prototye functions data members,role header file list functions class hiding inner workings functions,4.5,4.970000000000001
At function int main - LRB - - RRB -,the Function main - LRB - - RRB -,function int main lrb rrb,function main lrb rrb,5.0,3.1750000000000025
A function that calls upon it self to solve a problem Each time it calls upon it self it splits up a problem into a simplier form until it reaches a base case which is the most simplest form of the problem,a function that calls itself in the definition code,function calls upon self solve problem time calls upon self splits problem simplier form reaches base case simplest form problem,function calls definition code,5.0,3.229999999999996
Returns size of operand in bytes,it yields the size in bytes of the operand which can be an expression or the parenthesized name of a type,returns size operand bytes,yields size bytes operand expression parenthesized name type,4.0,4.3799999999999955
Using an index outside the bounds of the array generates a run - time error,compilation error,using index outside bounds array generates run time error,compilation error,1.0,2.5749999999999984
The name of the function and the list of parameters including their types,The function signature tells what the function parameters and includes all the function calls,name function list parameters including types,function signature tells function parameters includes function calls,4.0,4.309999999999997
List based is preferred because it is not constrained to a fix size The down fall is that it takes up more memory because each node has at least two parts the item and the pointer,list based because it is much more flexible easier to use and doesnt need to have a max size defined when it is made,list based preferred constrained fix size fall takes memory node least two parts item pointer,list based much flexible easier use doesnt need max size defined made,5.0,2.994999999999999
The size in bytes of its operand,the sizeof operator returns the size in bytes of an array parameter,size bytes operand,sizeof operator returns size bytes array parameter,4.0,3.7750000000000044
Link - based because they are dynamic - LRB - no size constraints - RRB -,I think array based is batter because of fixed size but on other had list base is more flaxible You do not have to worry about the size,link based dynamic lrb size constraints rrb,think array based batter fixed size list base flaxible worry size,4.0,4.905
you replace the node with the largest element of its left subtree or replace it with the smallest element of the right subtree,In a binary search tree you must first establish a proper replacement for the node you are about to delete usually a child from the soon to be deleted node Once that replacement node has been found you simply reassign it to where the node that is going to be deleted is After the deleted node has been usurped you remove the deleted node from memory so it may be used again,replace node largest element left subtree replace smallest element right subtree,binary search tree must first establish proper replacement node delete usually child soon deleted node replacement node found simply reassign node going deleted deleted node usurped remove deleted node memory may used,4.0,3.500000000000003
Searches an array for the largest or the smallest element and is moved out to the front of the array then it will search for the next largest or the smallest element to move out to the front,Find the smallest and put it in the current position till you get to the end,searches array largest smallest element moved front array search next largest smallest element move front,find smallest put current position till get end,5.0,3.9699999999999998
a queue otherwise some things would never be printed,Queue,queue otherwise things would never printed,queue,5.0,3.995000000000001
Private and public,local global local - variable function specific,private public,local global local variable function specific,2.5,4.330000000000001
It avoids making copies of large data structures when calling functions,Functions can directly modify arguments that are passed by reference,avoids making copies large data structures calling functions,functions directly modify arguments passed reference,3.5,2.4749999999999983
push and pop,Push Pop,push pop,push pop,5.0,4.822806440697213
Both involve a controlled repetition structures and they both have a termination test Also both of them can loop forever,not answered,involve controlled repetition structures termination test also loop forever,answered,0.0,2.8150000000000035
Any functions that follows their deceleration that are in the source code file are allowed to have access the variables Also global scope variables retrain their value throughout the execution of the program,it is accessible by all functions within a program,functions follows deceleration source code file allowed access variables also global scope variables retrain value throughout execution program,accessible functions within program,4.5,3.4450000000000047
A leaf is a child of a parent node that has no children nodes of its own,the last child on any branch,leaf child parent node children nodes,last child branch,4.5,3.815000000000004
Elements can be inserted into a link list at any point and does not need to be resized unlike an array needs to be,linked lists are abe to grow as needed to a new size,elements inserted link list point need resized unlike array needs,linked lists abe grow needed new size,5.0,4.390000000000002
The char will automatically add a null 0 character at the end of the string,The variable of type string has a terminating character 0 at the end of it,char automatically add null character end string,variable type string terminating character end,4.0,3.9950000000000054
a queue otherwise some things would never be printed,A Queue data structure is more appropriate for scheduling printing jobs at a printer The first job sent to the printer is the first job printed,queue otherwise things would never printed,queue data structure appropriate scheduling printing jobs printer first job sent printer first job printed,5.0,4.0800000000000045
A binary tree is a set of nodes that is either empty or partitioned into a root node and one or two subsets that are binary subtrees of the root Each node can have no more than two children a right and a left child,A tree in which each parent has a maximum of 2 children,binary tree set nodes either empty partitioned root node one two subsets binary subtrees root node two children right left child,tree parent maximum children,5.0,4.759999999999999
Taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,Looking at the 2nd element move forward and place the element in the correct spot,taking one array element time left right inserts right position among already sorted elements left,looking element move forward place element correct spot,4.5,3.6250000000000018
Overall the program has better performance - LRB - means it is faster - RRB - because it does not have to copy large amounts of data,It is often more efficient to pass references rather than large objects to functions This allows the compiler to pass the address of the object while maintaining the syntax that would have been used to access the object,overall program better performance lrb means faster rrb copy large amounts data,often efficient pass references rather large objects functions allows compiler pass address object maintaining syntax would used access object,5.0,4.035000000000001
This type of programming is more flexible making it easier to add and modify the program It is also a type of a fail safe program you check each individual module This eliminates redundant code and makes the program easier to read for other programmers When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program,They make it easier to reuse and adapt previously written code and they separate complex programs into smaller easier to understand classes,type programming flexible making easier add modify program also type fail safe program check individual module eliminates redundant code makes program easier read programmers debugging program easier track source problem within module rather million line program,make easier reuse adapt previously written code separate complex programs smaller easier understand classes,4.5,4.18
This operator returns the memory address of its operand,returns the address of what it is put in front of,operator returns memory address operand,returns address put front,4.5,4.859999999999999
A variable is a location in memory where a value can be stored,a symbol that stands in for a value that may or may not change depending on the program,variable location memory value stored,symbol stands value may may change depending program,4.0,4.040000000000001
returns a synonym for the object to which its pointer operand points,synonym for the object its operand points to,returns synonym object pointer operand points,synonym object operand points,5.0,4.67
They are converted to post fix expressions It still follow the order of precedence for the operators,In postfix notation,converted post fix expressions still follow order precedence operators,postfix notation,4.0,4.5400000000000045
Insertion sort divides the list into sorted and unsorted regions then takes each item from the unsorted region and inserts it into its correct order in the sorted region,The sorted array or list is built one entry at a time,insertion sort divides list sorted unsorted regions takes item unsorted region inserts correct order sorted region,sorted array list built one entry time,3.5,4.36
The compiler creates a default constructor when we do not define one in our class file,When no constructor was specified in the constructor class but the class is instantiated in a program,compiler creates default constructor define one class file,constructor specified constructor class class instantiated program,5.0,4.310000000000004
The testing stage can influence both the coding stage - LRB - phase 5 - RRB - and the solution refinement stage - LRB - phase 7 - RRB -,Verification Debugging,testing stage influence coding stage lrb phase rrb solution refinement stage lrb phase rrb,verification debugging,2.0,4.2550000000000034
Refining and Coding,Verification coding refining the solution and maintenance are all influenced by the testing stage,refining coding,verification coding refining solution maintenance influenced testing stage,4.5,4.510000000000004
The base case for a recursive merge sort is one number One number by itself is a sorted list regardless of what number it is,O - LRB - nlog - LRB - n - RRB - - RRB -,base case recursive merge sort one number one number sorted list regardless number,lrb nlog lrb n rrb rrb,2.5,4.6450000000000005
Find the node then replace it with the leftmost node from its right subtree - LRB - or the rightmost node from its left subtree - RRB -,to delete the node you would have to link the children nodes that are connected to the node to be deleted to the remaining nodes of the tree in such a way that nodes on the right of the parent node are larger than the parent and nodes on the left of the parent node are smaller,find node replace leftmost node right subtree lrb rightmost node left subtree rrb,delete node would link children nodes connected node deleted remaining nodes tree way nodes right parent node larger parent nodes left parent node smaller,4.0,4.575000000000004
A local variable cannot be accessed outside the function in which it is declared Data members normally are private Variables of functions declared private are accessible only to member functions of the class in which they are declared,data members are permanent attributes of the class local variables inside a member function are lost when the scope of the member function ends,local variable accessed outside function declared data members normally private variables functions declared private accessible member functions class declared,data members permanent attributes class local variables inside member function lost scope member function ends,4.0,4.319999999999996
To simulate portions of the desired final product with a quick and easy program that does a small specific job It is a way to help see what the problem is and how you may solve it in the final project,A program that simulates the behavior of portions of the desired software product,simulate portions desired final product quick easy program small specific job way help see problem may solve final project,program simulates behavior portions desired software product,5.0,4.229999999999996
you get the memory location of the first element and the you add an offset to it to get other elements,multiplied by - LRB - arrayName plus index - RRB -,get memory location first element add offset get elements,multiplied lrb arrayname plus index rrb,4.0,2.7049999999999974
A collection of elements that can be allocated dynamically,A linked list is a chain of structs or records called nodes Each node has at least two members one of which points to the next item or node in the list,collection elements allocated dynamically,linked list chain structs records called nodes node least two members one points next item node list,4.5,3.9199999999999995
a queue otherwise some things would never be printed,Queue its better to be FIFO than LIFO - LRB - stack - RRB -,queue otherwise things would never printed,queue better fifo lifo lrb stack rrb,5.0,3.584999999999999
You implement a list in which the head pointer points to the element most recently pushed onto the list and the pop function changes the head pointer to point to the next to last element in the list and removes the element head pointer previously pointed to,have the head of the list be the last item added and a push just adds a new head,implement list head pointer points element recently pushed onto list pop function changes head pointer point next last element list removes element head pointer previously pointed,head list last item added push adds new head,4.5,4.234999999999999
A function that calls upon it self to solve a problem Each time it calls upon it self it splits up a problem into a simplier form until it reaches a base case which is the most simplest form of the problem,A recursive function only knows how to solve base cases A recursive function calls itself directly or indirectly until a base case is reached,function calls upon self solve problem time calls upon self splits problem simplier form reaches base case simplest form problem,recursive function knows solve base cases recursive function calls directly indirectly base case reached,5.0,3.7000000000000055
Using linked lists and stacks you would need a temp stack to retain the values Then you would use the Pop - LRB - - RRB - function to pop off each element and then compare it If its not the element your looking for Push - LRB - - RRB - it to the temp stack Repeat until the element is found When you find it Pop - LRB - - RRB - off the temp stack back onto the regular stack to have a complete stack again,Iterate through the stack checking the number against the current element,using linked lists stacks would need temp stack retain values would use pop lrb rrb function pop element compare element looking push lrb rrb temp stack repeat element found find pop lrb rrb temp stack back onto regular stack complete stack,iterate stack checking number current element,1.5,2.3599999999999968
Push and pop are two main functions defined in a stack,push and pop Push adds a given node to the top of the stack leaving previous nodes below Pop removes and returns the current top node of the stack,push pop two main functions defined stack,push pop push adds given node top stack leaving previous nodes pop removes returns current top node stack,5.0,3.9749999999999974
A linked list is a data structure that is not necessarily in the same contiguous memory space - LRB - such as arrays - RRB - It holds the data type and points to the next data item in the list or in a doubly linked list also to the previous item,a series of structures containing data items and a pointer that links the structure to the next structure,linked list data structure necessarily contiguous memory space lrb arrays rrb holds data type points next data item list doubly linked list also previous item,series structures containing data items pointer links structure next structure,4.5,4.3399999999999945
The compiler creates a default constructor when we do not define one in our class file,C plus plus will create a default constructor when no other constructor is present,compiler creates default constructor define one class file,c plus plus create default constructor constructor present,5.0,3.965000000000003
A local variable cannot be accessed outside the function in which it is declared Data members normally are private Variables of functions declared private are accessible only to member functions of the class in which they are declared,Data members are the atributes of the function and can be used outside the function Local variable can not be used outside the function and the value is lost after the function terminates,local variable accessed outside function declared data members normally private variables functions declared private accessible member functions class declared,data members atributes function used outside function local variable used outside function value lost function terminates,4.5,4.604999999999999
A collection of nodes which has a special node called root and the rest of the nodes are partitioned into one or more disjoint sets each set being a tree,a grouping of data in a parent to child structure,collection nodes special node called root rest nodes partitioned one disjoint sets set tree,grouping data parent child structure,3.0,3.2233333333333336
A function that calls upon it self to solve a problem Each time it calls upon it self it splits up a problem into a simplier form until it reaches a base case which is the most simplest form of the problem,a function that calls itself until a base case is met,function calls upon self solve problem time calls upon self splits problem simplier form reaches base case simplest form problem,function calls base case met,5.0,2.902499999999997
Unlike in a string declared using type string in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character,strings declared using an array of characters could result in data loss if character array not initialized large enough,unlike string declared using type string string declared using array characters programmer must provide null terminating character must ensure array large enough hold string null terminating character,strings declared using array characters could result data loss character array initialized large enough,4.0,4.814999999999998
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child,a binary search tree is a special tree in which each node has at most two children labeled left child and right child,binary tree property node left child smaller parent turn smaller right child,binary search tree special tree node two children labeled left child right child,2.5,4.85
Run - time error,Compilation error,run time error,compilation error,1.0,4.955
they take up twice as much memory for each node,a node in a doubly linked list takes up more memory than a node in a singly linked list,take twice much memory node,node doubly linked list takes memory node singly linked list,5.0,4.12
The last element in a circular linked list points to the head of the list,In circular linked list each node has successor no node contains NULL while in basic linked list last node contain NULL,last element circular linked list points head list,circular linked list node successor node contains null basic linked list last node contain null,3.0,4.634999999999997
To simulate portions of the desired final product with a quick and easy program that does a small specific job It is a way to help see what the problem is and how you may solve it in the final project,you can break the whole program into prototype programs to simulate parts of the final program,simulate portions desired final product quick easy program small specific job way help see problem may solve final project,break whole program prototype programs simulate parts final program,5.0,4.269999999999994
A variable is a location in memory where a value can be stored,A variable is the location in a computer memory where a value can be stored for use by a program,variable location memory value stored,variable location computer memory value stored use program,5.0,4.204999999999998
the type char has a null - LRB - n - RRB - element at the very end,Type char may contain a null value as the last element whereas type string will not,type char null lrb n rrb element end,type char may contain null value last element whereas type string,5.0,4.800000000000001
The compiler creates a default constructor when we do not define one in our class file,when there is not one already for a specific class,compiler creates default constructor define one class file,one already specific class,5.0,2.514999999999998
The function signature includes the name of the function and the types of its arguments,The name of the function and the types of its arguments,function signature includes name function types arguments,name function types arguments,5.0,4.405000000000003
Overall the program has better performance - LRB - means it is faster - RRB - because it does not have to copy large amounts of data,you do not use unessesary memory space to copy variables between functions,overall program better performance lrb means faster rrb copy large amounts data,use unessesary memory space copy variables functions,5.0,2.6000000000000014
Log - LRB - n - RRB - where n is the number of nodes,the same number of steps as the number of levels or generations in the tree,log lrb n rrb n number nodes,number steps number levels generations tree,5.0,4.805
Unlike in a string declared using type string in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character,Char array Individual letters can be accessed directly with array subscript notation String array array subscript will return the entire string,unlike string declared using type string string declared using array characters programmer must provide null terminating character must ensure array large enough hold string null terminating character,char array individual letters accessed directly array subscript notation string array array subscript return entire string,2.0,4.845000000000001
Searches an array for the largest or the smallest element and is moved out to the front of the array then it will search for the next largest or the smallest element to move out to the front,Selection sort finds the smallest number left unsorted in an array and puts it at the end of what it has sorted,searches array largest smallest element moved front array search next largest smallest element move front,selection sort finds smallest number left unsorted array puts end sorted,4.5,4.83
Run - time error,compilation error,run time error,compilation error,1.0,4.955
A base case that is the simplest case for a problem so that the function will lead to it if this does not happen then it will end up as an infinite loop And a condition to know when to terminate,Not having a base case or building a recursion process that does not converge on the base case,base case simplest case problem function lead happen end infinite loop condition know terminate,base case building recursion process converge base case,5.0,4.5150000000000015
by keeping track of a front item and a rear item or with a circular array that uses the modulo function,By implementing an array and only adding items to the end of the array and only removing items from the beginning of the array,keeping track front item rear item circular array uses modulo function,implementing array adding items end array removing items beginning array,3.0,4.345000000000002
The strings declared using an array of characters have a null element added at the end of the array,By using an array of characters you are limited to the size of the array of characters By declaring by type the end of the string is acknowledged by white space,strings declared using array characters null element added end array,using array characters limited size array characters declaring type end string acknowledged white space,3.5,4.014999999999996
A tree data structure where each node has a value where the total order is defined on these values the left subtree contains only values less than the parent node and vice versa for the right subtree,a tree that is set up so that it can be easily searched for numbers based on the location compared to the previous nodes,tree data structure node value total order defined values left subtree contains values less parent node vice versa right subtree,tree set easily searched numbers based location compared previous nodes,3.5,3.8600000000000003
The height of a tree is the number of nodes on the longest path from the root to a leaf,is equal to the number of levels levels between the root node and the terminal nodes,height tree number nodes longest path root leaf,equal number levels levels root node terminal nodes,4.5,3.5900000000000047
Push and pop are two main functions defined in a stack,Push and pop,push pop two main functions defined stack,push pop,5.0,4.670000000000004
The height of the tree,Depends on the location of the node you are looking for If it is the root it is one step else If it is smaller than the current you are on node you go to the left If it is larger than the current node you are on go to the right,height tree,depends location node looking root one step else smaller current node go left larger current node go right,2.0,4.1249999999999964
List based is preferred because it is not constrained to a fix size The down fall is that it takes up more memory because each node has at least two parts the item and the pointer,i would think a list based would be better because you can change the pointers of the nodes to add or remove things from your stack,list based preferred constrained fix size fall takes memory node least two parts item pointer,would think list based would better change pointers nodes add remove things stack,4.0,3.3899999999999975
Public and private specifiers,public private protected,public private specifiers,public private protected,5.0,4.3350000000000035
they take up twice as much memory for each node,each node requires an extra pointer taking up more storage insertions and deletions require more pointer operations,take twice much memory node,node requires extra pointer taking storage insertions deletions require pointer operations,5.0,2.1699999999999977
A pointer that points to the memory address of the beginning part of a functions pretty much the pointer points to the function so it can be called to execute,Function pointer is a pointer to a function function pointer contains address of functions,pointer points memory address beginning part functions pretty much pointer points function called execute,function pointer pointer function function pointer contains address functions,5.0,3.824999999999998
The memory address of its operand,It returns the memory address of it is operand That is if applied to a normal variable it gives the variable memory address just as a pointer variable might,memory address operand,returns memory address operand applied normal variable gives variable memory address pointer variable might,4.5,2.296583333333331
Log - LRB - n - RRB - where n is the number of nodes,log - LRB - n - RRB - steps,log lrb n rrb n number nodes,log lrb n rrb steps,5.0,4.789999999999999
The compiler selects the proper functions to execute based on number types and order of arguments in the function call,Compiler selects proper function to execute based on number types and order of arguments in the function call,compiler selects proper functions execute based number types order arguments function call,compiler selects proper function execute based number types order arguments function call,5.0,4.868166666666668
A list can have unlimited elements in it You can push a node onto the end of the list and pop the one in the front,A list can have unlimited elements in it You can push a node onto the end of the list and pop the one in the front,list unlimited elements push node onto end list pop one front,list unlimited elements push node onto end list pop one front,5.0,4.822806440697213
Name of the function parameters it must receive in order to perform and a return type,Return type function name and the parameter types,name function parameters must receive order perform return type,return type function name parameter types,5.0,4.985000000000001
A local variable cannot be accessed outside the function in which it is declared Data members normally are private Variables of functions declared private are accessible only to member functions of the class in which they are declared,a Data member is encapsulated within a class or object it is static and can be shared by all instances of that class however local variable are only used from the function or block in which it is declared and not the whole class other wise they would be called global variables,local variable accessed outside function declared data members normally private variables functions declared private accessible member functions class declared,data member encapsulated within class object static shared instances class however local variable used function block declared whole class wise would called global variables,4.0,3.6150000000000033
This type of programming is more flexible making it easier to add and modify the program It is also a type of a fail safe program you check each individual module This eliminates redundant code and makes the program easier to read for other programmers When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program,Encapsulation - objects combine data and operations Inheritance - classes can inherit properties from other classes Polymorphism - Objects can determine appropriate operations at execution time,type programming flexible making easier add modify program also type fail safe program check individual module eliminates redundant code makes program easier read programmers debugging program easier track source problem within module rather million line program,encapsulation objects combine data operations inheritance classes inherit properties classes polymorphism objects determine appropriate operations execution time,2.5,4.859999999999999
You implement a list in which the head pointer points to the element most recently pushed onto the list and the pop function changes the head pointer to point to the next to last element in the list and removes the element head pointer previously pointed to,Use the head as the top of the stack only modify the head when you push or pop push would add a new item to the head pop would remove the item from the head,implement list head pointer points element recently pushed onto list pop function changes head pointer point next last element list removes element head pointer previously pointed,use head top stack modify head push pop push would add new item head pop would remove item head,4.5,3.0949999999999984
log - LRB - log n - RRB - 2 to the power of - LRB - log n - RRB - n to the power of 2 n to the power of 3 n !,log - LRB - log n - RRB - 2 to the power of - LRB - log n - RRB - n to the power of 2 n to the power of 3 n !,log lrb log n rrb power lrb log n rrb n power n power n,log lrb log n rrb power lrb log n rrb n power n power n,5.0,4.822806440697213
Iteration performers a series of checks and loops,by iteration,iteration performers series checks loops,iteration,5.0,1.4200000000000002
You implement a list in which the head pointer points to the element most recently pushed onto the list and the pop function changes the head pointer to point to the next to last element in the list and removes the element head pointer previously pointed to,Use head as the top and push and pop nodes from the head,implement list head pointer points element recently pushed onto list pop function changes head pointer point next last element list removes element head pointer previously pointed,use head top push pop nodes head,4.5,4.095000000000002
Array can retrieve memory from any place in the list while in a link list you have to traverse through each individual node,Arrays have a set list of values Meaning you can pick a spot in the array such as a 7 picks the 8th spot in the array With linked lists you have to keep track with pointers if you want to take specific nodes out otherwise you must traverse the entire list,array retrieve memory place list link list traverse individual node,arrays set list values meaning pick spot array picks spot array linked lists keep track pointers want take specific nodes otherwise must traverse entire list,5.0,2.4299999999999993
It selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,Compare the largest element to the front element and swap data according to value if needed,selects minimum array places first position selects minimum rest array places second position forth,compare largest element front element swap data according value needed,4.0,4.600000000000001
By using constructors,variables are set to a given value or 0 if none is given,using constructors,variables set given value none given,1.0,4.869999999999999
The compiler creates a default constructor when we do not define one in our class file,whenevery you dont specifiy your own,compiler creates default constructor define one class file,whenevery dont specifiy,5.0,3.715000000000005
An array has a fixed size You can add and delete elements to the end of the array and you use a pointer to keep track of the last element added Each time you add or delete an element you update the pointer and check if it is equal to the max size of the array,you store the stack in the array but you have to keep in mind the first element,array fixed size add delete elements end array use pointer keep track last element added time add delete element update pointer check equal max size array,store stack array keep mind first element,3.0,4.0849999999999955
A tree is a finite set of one or more nodes with a specially designated node called the root and the remaining nodes are partitioned into disjoint sets where each of these sets is a tree,A tree is a finite set of one or more nodes such that there is a specially designated node called the root,tree finite set one nodes specially designated node called root remaining nodes partitioned disjoint sets sets tree,tree finite set one nodes specially designated node called root,3.5,4.99
An array has a fixed size You can add and delete elements to the end of the array and you use a pointer to keep track of the last element added Each time you add or delete an element you update the pointer and check if it is equal to the max size of the array,By implementing an array of a pre - defined size with the bottom stack element stored at element 0 and the last element stored in the array is the top You increment top when an element is pushed and you decrement it when an item is popped,array fixed size add delete elements end array use pointer keep track last element added time add delete element update pointer check equal max size array,implementing array pre defined size bottom stack element stored element last element stored array top increment top element pushed decrement item popped,5.0,4.885
You can initialize and array by using an initializer list in its declaration or by initializing its size with a constant variable,define it as array 5 or array 1 2 3 4 5,initialize array using initializer list declaration initializing size constant variable,define array array,4.5,3.4399999999999964
List based is preferred because it is not constrained to a fix size The down fall is that it takes up more memory because each node has at least two parts the item and the pointer,Array based implementation requires less memory than a list based inceasing the size of a resizeable array can waste storage and time,list based preferred constrained fix size fall takes memory node least two parts item pointer,array based implementation requires less memory list based inceasing size resizeable array waste storage time,3.5,4.33
A data structure for storing items which are to be accessed in last - in first - out order that can be implemented in three ways,Stores a set of elements in a particular order Stack principle : LAST IN FIRST OUT It means : the last element inserted is the first one to be removed,data structure storing items accessed last first order implemented three ways,stores set elements particular order stack principle last first means last element inserted first one removed,5.0,4.334999999999999
It will do - LRB - n - RRB - operations where - LRB - n - RRB - is the number of elements in the array Best case is when all the elements are already sorted,Best case - 1 Worst Case - N,lrb n rrb operations lrb n rrb number elements array best case elements already sorted,best case worst case n,2.0,4.154999999999996
A data structure that can store elements which has the property that the last item added will be the first to be removed - LRB - or last - in - first - out - RRB -,A data structure that puts elements in a list and only allows the user access to the last element,data structure store elements property last item added first removed lrb last first rrb,data structure puts elements list allows user access last element,4.5,4.805000000000001
It selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,by selecting the first object and comparing it with the next objects to find one that is smaller if it does it switches the two then it comes back the other way and sees if the objects previous to the last one is greater if it does it switches them it does this while decreasing the range it looks at until it finishes in the middle,selects minimum array places first position selects minimum rest array places second position forth,selecting first object comparing next objects find one smaller switches two comes back way sees objects previous last one greater switches decreasing range looks finishes middle,2.5,2.79041666666667
a queue otherwise some things would never be printed,Queue the person who wanted to print first should be first served,queue otherwise things would never printed,queue person wanted print first first served,5.0,4.074999999999996
The inline keyword advises the compiler to copy the function code in place to avoid function calls; however the compiler can and typically does ignore the inline qualifier for all but the smallest functions,the function call will be replaced by the code that was defined in the inline function,inline keyword advises compiler copy function code place avoid function calls however compiler typically ignore inline qualifier smallest functions,function call replaced code defined inline function,5.0,4.935
A linked list is a data structure that is not necessarily in the same contiguous memory space - LRB - such as arrays - RRB - It holds the data type and points to the next data item in the list or in a doubly linked list also to the previous item,Consists of sequence of nodes each containing a number of data fields and one or two links called pointers that point to the next or previous nodes,linked list data structure necessarily contiguous memory space lrb arrays rrb holds data type points next data item list doubly linked list also previous item,consists sequence nodes containing number data fields one two links called pointers point next previous nodes,4.5,3.635000000000006
