answer,response,label
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,jawaban tetap dan suatu fakta yang kita buat untuk menentukan hukum/fakta dari produk tersebut.,0
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,pernyataan mengenai aturan / cara kerja yang ditetapkan oleh peneliti yang sesuai dengan prinsip yang ada dalam penelitian.,0.5
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,Prinsip khusus atau spesifik yang diterima secara meluas setelah dilakukan pengujian berulang kali dan kebenarannya telah dibuktikan oleh peneliti-peneliti lainnya.,5
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,"hukum dapat dibuat ketika suatu barang atau benda telah diteliti dan dibuatkan hukum, contohnya menurut hukum dr jerevin sebuah botol harus berbentuk kotak dan berwarna bening",0
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,suatu barang yang sudah diteliti kemudian dibuktikan hukum seperti: spidol itu memiliki bentuk yang panjang,1.5
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,peraturan dari suatu penelitian,0
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,suatu pernyataan yang menyatakan cara kerja dari suatu objek/aturan dari suatu objek. Contoh: Hukum Valen mengatakan bahwa spidol Valen hanya dapat digunakan jika ada tintanya.,0
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,prinsip-prinsip ilmiah,1
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,"peraturan yang berlaku didalam fisika. Hukum fisika meliputi hukum gravitasi newton, hukum penelitian, dan hukum-hukum lainnya. Hukum tidak hanya berlaku di kehidupan, tetapi berlaku juga di berbagai pelajaran.",0
"objektif, metodik, sistematik, berlaku umum","kritis dan analisis, logis, objektif, empiris, dan konseptual.",1.5
"objektif, metodik, sistematik, berlaku umum","objektif
teliti
logis
empiris
kritis dan analisis
konstitual",1
"objektif, metodik, sistematik, berlaku umum","Objek, metodik, sistematik, berlaku umum",5
"objektif, metodik, sistematik, berlaku umum","objektif, empiris, analisis",1.5
"objektif, metodik, sistematik, berlaku umum","logis, empiris, kritis dan analitis, objektif, konseptual.",5
"objektif, metodik, sistematik, berlaku umum","Objektif
Subjektif",1
"objektif, metodik, sistematik, berlaku umum","objektif, empiris, analisis",2.5
"objektif, metodik, sistematik, berlaku umum","orientatis, empiris, sistematis, objektif",2
"objektif, metodik, sistematik, berlaku umum","bertanggung jawab dlm penelitian, harus terbuka, sopan, berpikir kritis",1
"objektif, metodik, sistematik, berlaku umum","Objektif, jujur, analitis.",1.5
"objektif, metodik, sistematik, berlaku umum","objektif
subjektif",1.5
"objektif, metodik, sistematik, berlaku umum","kritis
Konseptual
Objektif
Logis
Bertanggung jawab
Empiris
Sopan",4.5
"objektif, metodik, sistematik, berlaku umum","Objektif, konsep tua, Empiris, Logis, analitis",2.5
"objektif, metodik, sistematik, berlaku umum","Objektif, empiris, analitis.",2.5
"objektif, metodik, sistematik, berlaku umum","kritis dan kreatif, rajin dan tekun, bertanggung jawab, rasa ingin tahu, pikiran yang terbuka, teliti, objektif",2
"objektif, metodik, sistematik, berlaku umum","empiris, kritis dan analitis, objektif, konseptual dan logis.",5
"objektif, metodik, sistematik, berlaku umum","objek, metodik, sistematis",3
"objektif, metodik, sistematik, berlaku umum","kritis dan analisis, objektif, logis, empiris, konstitual",3
"objektif, metodik, sistematik, berlaku umum","Sistematik
Analitik
objektif
Metodik",4
"objektif, metodik, sistematik, berlaku umum","kritis dan analitis
logis
objektif
empiris
konseptual",5
"objektif, metodik, sistematik, berlaku umum","Bertanggung jawab dalam penelitian dan harus terbuka, sopan, dan berpikir kritis",1
"objektif, metodik, sistematik, berlaku umum","Sopan dalam melakukan sebuah penelitian
Bertanggung jawab
Rajin meneliti
Jujur
Objektif",0
"objektif, metodik, sistematik, berlaku umum","Objektif, metodik, sistematis, berlaku umum",5
"objektif, metodik, sistematik, berlaku umum","kritis dan analitis
objektif
logis
empiris
konseptual",4
"objektif, metodik, sistematik, berlaku umum","objektif
Sistematik
Metodik
Analitik",3.5
"objektif, metodik, sistematik, berlaku umum","kritis dan analisis, logis, objektif, empiris, konseptual",5
"objektif, metodik, sistematik, berlaku umum","objektif
sistematik
metodik
umum",4.5
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori.",2.5
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",sesuatu yang digunakan agar dapat dengan mudah menyelesaikan sesuatu hal atau soal dalam fisika.,0
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","Penyataan matematis dari suatu fakta, konsep, prinsip, hukum dan teori",2.5
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","Pernyataan otomatis dari suatu fakta, konsep, teori, hukum, rumus, metode, model",2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",suatu pengukuran untuk mendapatkan hasil,0
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","Pernyataan otomatis dari suatu fakta, konsep, teori, hukum, rumus, metode, model",2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum dan teori.",2.5
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",Pernyataan matematis dari suatu hal.,2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","Pernyataan yang dibuat dari fakta suatu objek, misal panjang penggaris lebar penggaris",2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",pernyataan yang dibuat dari fakta suatu objek / kajian,2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",perhitungan ukuran suatu produk.,0.5
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",cara untuk mengetahui ukuran dan isi sebuah produk,0
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",pernyataan perhitungan atau yang berhubungan dengan matematika.,2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",Menyatakan matematis dalam suatu hal tertentu,2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",Rumus merupakan sebuah metode awal yang digunakan pada fisika untuk mencapai sebuah hasil akhir.,0
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",salah satu untuk melakukan hasil pengukuran agar diketahui hasilnya,0
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","pernyataan matematis dari suatu fakta, konsep, hukum",2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","suatu penyelesaian yang dilakukan secara matematis dari suatu fakta, konsep, dan hukum",2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",sesuatu yang berkaitan dengan angka dan cara untuk menyelesaikan suatu masalah dalam ilmu fisika,0.5
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",perhitungan / pernyataan matematis yang menyebutkan cara kerja suatu benda,1.5
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.","pernyataan sistematis dari suatu fakta, konsep prinsip, hukum dan teori",2.5
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",Rumus untuk suatu barang yang telah diteliti dan dibuktikan rumusnya,0
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",suatu barang yang sudah diteliti kemudian barang tersebut dibuktikan rumus dengan diri sendiri.,0
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",pernyataan sistematis,1
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",hitungan/cara dari suatu benda,0
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",Pernyataan matematis yang menjelaskan cara kerja suatu benda/objek.,2
"Pernyataan matematis dari suatu fakta, konsep, prinsip, hukum, dan teori yang menggambarkan keterkaitan antara variabel-variabel yang menggambarkan fenomena alam tertentu.",sesuatu yang bertujuan untuk memecahkan persoalan dari suatu masalah (lalu kemudian diteliti kembali dan memperoleh jawaban dari masalah tersebut),0.5
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",Sangat teliti dan dapat membuat penelitian ilmiah.,0
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",suatu hal atau tujuan yang akan diteliti menggunakan penelitian ilmiah.,1.5
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",Objek yang diteliti atau nampak secara langsung,1
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",salah satu karakteristik peneliti.,0
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",salah satu karakteristik penelitian ilmiah,0
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.","teliti,bijaksana",0
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",tujuan atau target yang mau di tuju dengan serius,0
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",Objektif tertentu pada sebuah objek yang mau atau ingin dilakukan sebagai bahan penelitian atau bahan yang mau diamati.,2.5
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",Sesuatu yang dilakukan dengan teliti dan tepat,0
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",bersikap dengan berdasar pada kenyataan atau berfokus pada satu hal,1
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",Berkaitan dengan tindakan dan perlakuan dalam melakukan penelitian ilmiah,0.5
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",sikap yang bertanggung jawab dalam melakukan penelitian ilmiah.,4
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",objektif dalam karakteristik adalah,0
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",bentuk yang dapat dilihat secara langsung,2
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",fokus dalam satu hal atau objek saja.,0
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.","pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan pada orang lain.",5
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,"Berbicara dengan gaya, gerak, dan memiliki rumus perpindahan.",0
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Pemikiran para ilmuwan sains yang dapat disebut sebagai ‘a way of thinking’ sebagai kegiatan kreatif karena ide-ide dan pengetahuan,2
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Pemikiran para ilmuwan sains dapat disebut sebagai a way of thinking sebagai kegiatan,2
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Pemikiran para ilmuwan sains dapat disebut sebagai a way of thinking sebagai kegiatan kreatif karena ide-ide dan dari suatu gejala disusun dalam pikiran dan sikap,2
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,fisika sebagai sikap adalah sikap-sikap yang harus dimiliki oleh seorang peneliti dalam melakukan penelitian. Seperti seorang peneliti harus memiliki sikap ingin tau.,2
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Sikap seorang peneliti dalam penelitian,2.5
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,sikap seseorang yang berpikir secara ekologis,0
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Berkaitan dengan sikap peneliti dalam melakukan penelitian. Seperti peneliti harus jujur dalam melakukan penelitian.,2
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,sikap yang harus kita lakukan untuk melakukan penelitian,1
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Berkaitan dengan perbuatan dan tingkah laku kita.,0
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Sikap fisika yang harus selalu menggunakan pikiran dalam melakukan segala sesuatu atau penelitian,1
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Tindakan berpikir sebelum memulai rancangan awal pada ilmu fisika,1
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Fisika sebagai sikap adalah sikap-sikap seseorang dalam melakukan penelitian fisika,1
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,"berkaitan dengan gaya, gerak dan memiliki rumus perpindahan",0
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Fisika sebagai sikap dalam melakukan percobaan atau penelitian.,1
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,pemikiran dan argumentasi para ilmuwan dalam bekerja menjadi rambu rambu penting yang berkaitan dengan hakikat fisika,2
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,A way of thinking berkaitan dengan penerapan ilmu fisika dalam kehidupan sehari-hari,0
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,A way of thinking sikap yang dilakukan sehari-hari yang berkaitan dengan tingkah laku kita,0
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,a way of thinking adalah cara berpikir,1
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Pemikiran argumentasi para ilmuwan dalam bekerja menjadi rambu -rambu penting yang berkaitan dengan hakikat fisika,0
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Fisika sebagai sikap berkaitan dengan sikap peneliti ketika sedang melakukan percobaan ilmiah.,5
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,Pemikiran para ilmuwan sains termasuk fisika dipandang sebagai kegiatan kreatif karena ide-ide dan penjelasan suatu gejala alam disusun dalam pikiran dan sikap,2
berkaitan dengan cara berpikir seorang ilmuwan dalam melakukan proses sains.,fisika sebagai sikap berkaitan dengan sikap peneliti saat melakukan penelitian mengenai fisika.,5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terkait
Variabel terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol",variabel terikat bebas terkontrol,5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terkait
Variabel kontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol",variabel terikat variabel bebas,3
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas, terkait, terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terkontrol
Variabel terikat",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas variabel terikat
Variabel terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","variabel bebas
variabel terkontrol
variabel terikat",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terikat
Variabel terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terikat
Variabel terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","variabel bebas
variabel terikat
variabel untung",3.5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terkontrol
Variabel terikat",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Terikat
Bebas
Terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas, terikat, dan tertutup",3.5
"Variabel bebas
Variabel terkait
Variabel terkontrol","
variabel bebas
variabel terikat
variabel terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Terikat
Bebas
Terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","variabel bebas
variabel terikat
variabel terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terikat
Variabel tetap",3.5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terikat
Variabel terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","

Variable bebas
Variable terikat
Variable terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel terikat
Variabel kontrol",0
"Variabel bebas
Variabel terkait
Variabel terkontrol",3 jenis variabel dalam penelitian,0
"Variabel bebas
Variabel terkait
Variabel terkontrol","variabel terikat
variabel bebas
variabel terkontrol",5
"Variabel bebas
Variabel terkait
Variabel terkontrol","Variabel bebas
Variabel tetap
Variabel terikat",3.5
"Variabel bebas
Variabel terkait
Variabel terkontrol","variabel bebas
variabel tetap
variabel terikat",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.","Salah satu jenis prosa lama yang menceritakan tentang kehidupan raja, keluarga raja, atau bangsawan",5
"karya sastra melayu berbentuk prosa yang berisi cerita, undang-undang dan silsilah bersifat rekaan, keagamaan, historis, biografis atau gabungan sifat-sifat itu","karya sastra melayu berbentuk prosa yang berisi cerita undang-undang dan silsilah bersifat rekaan, stories, keagamaan, geografis atau gabungan sifat-sifat",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," prosa lama yang menceritakan tentang keluarga kerajaan, kisah kerajaan, dan bangsawan",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," jenis prosa lama yang menceritakan tentang kerajaan, keluarga raja, dan bangsawan",5
"karya sastra melayu berbentuk prosa yang berisi cerita, undang-undang dan silsilah bersifat rekaan, keagamaan, historis, biografis atau gabungan sifat-sifat itu","adalah karya sastra lama terbentuk prosa yang berisi cerita, undang-undang, silsilah, yang bersifat rekaan, keagamaan, historis, atau biografis",5
"karya sastra melayu berbentuk prosa yang berisi cerita, undang-undang dan silsilah bersifat rekaan, keagamaan, historis, biografis atau gabungan sifat-sifat itu","karya sastra melayu berbentuk prosa yang berisi cerita, undang-undang dan silsilah bersifat rekaan, keagamaan, historis, biografis atau gabungan sifat-sifat itu",3.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", karya sastra lama dalam bentuk prosa dan merupakan salah satu peninggalan kesustraan islam,4
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.","salah satu jenis prosa lama yang menceritakan tentang keluarga raja, kehidupan raja, atau bangsawan",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," salah satu krosa lama yang menceritakan kerajaan, raja-raja, dan bangsawan",4
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", salah satu jenis karya sastra berupa prosa yang dibuat dalam bentuk narasi/cerita.,4
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", salah satu jenis sastra lama yang berbentuk lisan atau tulisan,3.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", tulisan atau ciptaan yang disampaikan dengan komunikatif serta manfaat pengarang dan tujuan estetika,1.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," salah satu jenis prosa lama yang menceritakan tentang kehidupan raja, keluarga raja, dan bangsawan",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," proses lama yang menceritakan tentang keluarga kerajaan, kisah kerajaan, dan bangsawan",4.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," sastra kuno yang biasanya menceritakan tentang raja-raja atau kerajaan, teks hikayat selalu berakhir dengan ending yang baik, teks hikayat mengandung",3.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", karya sastra yang statis atau tetap,3
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", ciptaan atau tulisan yang disampaikan dengan komunikatif serta manfaat pengarang dan tujuan estetika.,3.5
"karya sastra melayu berbentuk prosa yang berisi cerita, undang-undang dan silsilah bersifat rekaan, keagamaan, historis, biografis atau gabungan sifat-sifat itu","karya sastra lama melayu berbentuk prosa yang berisi cerita, undang-undang, dan silsilah bersifat rekaan, keagamaan, historis, biografis atau gabungan sifat-sifat itu.",5
"karya sastra melayu berbentuk prosa yang berisi cerita, undang-undang dan silsilah bersifat rekaan, keagamaan, historis, biografis atau gabungan sifat-sifat itu","karya sastra lama berbentuk prosa yang berisi cerita, undang-undang, silsilah, yang bersifat rekaan, keagamaan, historis, atau biografis",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," bagian dari prosa lama yang menceritakan tentang kehidupan kerajaan, keluarga kerajaan atau bangsawan",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", ciptaan tulisan yang disampaikan dengan komunikatif serta manfaat penharan.,3.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.","Prosa yang menceritakan tentang kehidupan raja, keluarga raja",4.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", jenis pesan lama yang menceritakan tentang raja keluarga raja atau bangsawan,3.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," salah satu jenis prosa lama yang menceritakan kehidupan kerajaan, keluarga kerajaan yang diceritakan secara turun-temurun dan secara lisan.",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", cerita,0
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.","Cerita prosa lama yang menceritakan tentang keluarga raja, kehidupan raja",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.","Salah satu jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan. cerita yang biasa diceritakan secara turun temurun secara lisan.",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", cerita salah satu jenis cerita lama yang menceritakan kehidupan kerajaan,5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," prosa lama yang menceritakan tentang keluarga raja, keluarga kerajaan, atau bangsawan, kisah, cerita, dan dongeng.",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", salah satu bagian dari prosa yang menceritakan tentang kehidupan raja.,5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.",teks yang berisi cerita fiksi yang bertemakan kerajaan atau lainnya yang berhubungan dengan sihir atau lainnya.,3.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," salah satu jenis prosa lama yang menceritakan kehidupan sang raja, atau seseorang",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.","salah satu jenis prosa lama yang menceritakan tentang kehidupan raja, keluarga raja",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.",tema yang berisi cerita fiktif.,1.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.","Karya sastra yang berisi cerita tentang kerajaan, raja, ratu atau cerita yang berlatar kerajaan",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", teks cerita yang berisi karya fiktif (karangan),1.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," cerita jenis prosa lama yang menceritakan tentang raja, keluarga raja, dan bangsawan.",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", teks yang menggunakan prosa yang lama atau kuno yang dimana teks ini sudah jarang yang menggunakan,3.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.",Salah satu jenis prosa lama yang menceritakan tentang kehidupan raja,4
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.","memiliki alur cerita, memiliki konflik",0
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," salah satu prosa lama yang menceritakan tentang kerajaan, keluarga raja",5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.",teks yang menceritakan,0
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan."," teks yang menceritakan keluarga raja, raja, bangsawan yang menceritakan kepahlawanannya yang diturunkan secara lisan atau secara turun temurun",2
karya sastra yang berbentuk prosa dan termasuk dari dalam jenis cerita rakyat seperti kerajaan-kerajaan dan memakai bahasa arkais,teks hikayat merupakan teks yang menggunakan kata-kata yang menggunakan bahasa arkais,3.5
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", karya sastra lama yang terbentuk,5
